method,x,n,mean,lower,upper
exact,226,234,0.965811965811966,0.933749821026665,0.985126605967904
exact,220,234,0.94017094017094,0.901653660691412,0.966908288032276
exact,230,234,0.982905982905983,0.956813296460712,0.995323310907277
exact,212,234,0.905982905982906,0.861119077193723,0.940138695132823
exact,227,234,0.97008547008547,0.939338563821731,0.987889917299756
exact,205,234,0.876068376068376,0.826883942560844,0.915407360153582
exact,205,234,0.876068376068376,0.826883942560844,0.915407360153582
exact,222,234,0.948717948717949,0.912134602318835,0.973224424481391
exact,203,234,0.867521367521368,0.817255656778334,0.90818114372455
exact,200,234,0.854700854700855,0.80292022985764,0.897230726406731
