inputFile,date,iMRMCversion,readerID,N0,N1,modalityA,modalityB,AUCA,varAUCA,AUCB,varAUCB,AUCAminusAUCB,varAUCAminusAUCB,pValueNormal,botCInormal,topCInormal,rejectNormal,dfBDG,pValueBDG,botCIBDG,topCIBDG,rejectBDG,dfHillis,pValueHillis,botCIHillis,topCIHillis,rejectHillis
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader1,150,150,modalityA,NO_MOD,9.30000000E-1,2.02010000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader2,150,150,modalityA,NO_MOD,8.20000000E-1,3.86580000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader3,150,150,modalityA,NO_MOD,9.60000000E-1,1.23490000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader1,150,150,modalityB,NO_MOD,5.60000000E-1,1.77180000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader2,150,150,modalityB,NO_MOD,5.40000000E-1,1.23490000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader3,150,150,modalityB,NO_MOD,5.60000000E-1,1.77180000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader1,150,150,modalityA,modalityB,9.30000000E-1,2.02010000E-4,5.60000000E-1,1.77180000E-4,3.70000000E-1,3.22820000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader2,150,150,modalityA,modalityB,8.20000000E-1,3.86580000E-4,5.40000000E-1,1.23490000E-4,2.80000000E-1,4.13420000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,Reader3,150,150,modalityA,modalityB,9.60000000E-1,1.23490000E-4,5.60000000E-1,1.77180000E-4,4.00000000E-1,3.00670000E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
