modalityA,modalityB,UstatOrMLE,Components,R,C,RC,TR,TC,TRC
modalityA,NO_MOD,Ustat,components,5.24609E-3,1.50336E-2,5.61745E-2,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff,3.33333E-1,3.33333E-3,1.11111E-3,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,total,1.74870E-3,5.01119E-5,6.24161E-5,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,components,3.62222E-3,3.35333E-2,3.72000E-2,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,coeff,3.33333E-1,3.33333E-3,1.11111E-3,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,total,1.20741E-3,1.11778E-4,4.13333E-5,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,components,1.11857E-4,4.13423E-2,6.44295E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,coeff,3.33333E-1,3.33333E-3,1.11111E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,total,3.72856E-5,1.37808E-4,7.15884E-6,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,components,8.88889E-5,4.32000E-2,4.26667E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,coeff,3.33333E-1,3.33333E-3,1.11111E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,total,2.96296E-5,1.44000E-4,4.74074E-6,0.00000E0,0.00000E0,0.00000E0
modalityA,modalityB,Ustat,components,8.39821E-4,9.59732E-3,-1.94631E-3,1.83915E-3,1.85906E-2,3.32550E-2
modalityA,modalityB,Ustat,coeff,0.00000E0,0.00000E0,0.00000E0,6.66667E-1,6.66667E-3,2.22222E-3
modalityA,modalityB,Ustat,total,0.00000E0,0.00000E0,-0.00000E0,1.22610E-3,1.23937E-4,7.39001E-5
modalityA,modalityB,MLE,components,5.55556E-4,8.88889E-3,-1.28889E-3,1.30000E-3,2.94778E-2,2.20222E-2
modalityA,modalityB,MLE,coeff,0.00000E0,0.00000E0,0.00000E0,6.66667E-1,6.66667E-3,2.22222E-3
modalityA,modalityB,MLE,total,0.00000E0,0.00000E0,-0.00000E0,8.66667E-4,1.96519E-4,4.89383E-5
