modalityA,modalityB,UstatOrMLE,Components,R,C,RC,MR,MC,MRC
modalityA,NO_MOD,Ustat,components,1.63000E0,1.01275E-1,5.61745E-2,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff,1.11111E-3,1.11111E-3,0.00000E0,0.00000E0,-1.11111E-3,0.00000E0
modalityA,NO_MOD,Ustat,total,1.81111E-3,1.12528E-4,0.00000E0,0.00000E0,-0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,components,1.12387E0,1.37800E-1,3.72000E-2,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,coeff,1.11111E-3,1.11111E-3,0.00000E0,0.00000E0,-1.11111E-3,0.00000E0
modalityA,NO_MOD,MLE,total,1.24874E-3,1.53111E-4,0.00000E0,0.00000E0,-0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,components,4.00000E-2,1.30470E-1,6.44295E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,Ustat,coeff,1.11111E-3,1.11111E-3,0.00000E0,0.00000E0,-1.11111E-3,0.00000E0
modalityB,NO_MOD,Ustat,total,4.44444E-5,1.44966E-4,0.00000E0,0.00000E0,-0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,components,3.09333E-2,1.33867E-1,4.26667E-3,0.00000E0,0.00000E0,0.00000E0
modalityB,NO_MOD,MLE,coeff,1.11111E-3,1.11111E-3,0.00000E0,0.00000E0,-1.11111E-3,0.00000E0
modalityB,NO_MOD,MLE,total,3.43704E-5,1.48741E-4,0.00000E0,0.00000E0,-0.00000E0,0.00000E0
modalityA,modalityB,Ustat,components,1.08500E0,1.42718E-1,2.93624E-2,5.85000E-1,8.90268E-2,3.32550E-2
modalityA,modalityB,Ustat,coeff,0.00000E0,0.00000E0,2.22222E-3,2.22222E-3,0.00000E0,-2.22222E-3
modalityA,modalityB,Ustat,total,0.00000E0,0.00000E0,6.52498E-5,1.30000E-3,0.00000E0,-7.39001E-5
modalityA,modalityB,MLE,components,7.42778E-1,1.61211E-1,1.94444E-2,4.12022E-1,1.10456E-1,2.20222E-2
modalityA,modalityB,MLE,coeff,0.00000E0,0.00000E0,2.22222E-3,2.22222E-3,0.00000E0,-2.22222E-3
modalityA,modalityB,MLE,total,0.00000E0,0.00000E0,4.32099E-5,9.15605E-4,0.00000E0,-4.89383E-5
